num,user_id,user_name,datetime,business_id,business_name,text
10,8HmYlCb5gZHOk_g93jaTSA,Barra M.,21/11/2018,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Fresh ingredients, s wiches made   order, smooth   efficient service during   lunch rush, friendly staff, delicious. BBQ Pork    ef Br ket s wiches   my personal recommendations."
11,N2aMGTs9pbmdnVw-AD_QEA,Carl B.,15/11/2019,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"We were fin hing up our wonderful trip   Irel    came upon th  Cafe.    food was wonderful     service was very efficient. I would highly recommend anyone who wants a good, quick s wich!   won't   d sapointed!"
12,KBBA5VMy4gqsGUJYyk_53g,Orla L.,22/6/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"People    en raving about th  place     reviews   superb.
I had a falafel, hallumi   feta wrap.   was nice but I had   put salt on   for a b  more taste. My colleagues had lovely chicken s wiches   ones w h sausage. I was trying     a b  healthier but   taste suffered   I just craved   meat ones. BIG m take. HUGE! So will     go back   taste again.

  girl  hind   counter was u r friendly    y   very well organ ed."
13,N34XpbZBZz6M2nLdc6XdSA,Holly M.,12/6/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Delicious, qual y food   an insanely reasonable price.     possible   find both in one place,   th     .   ex ts.  's   unicorn of food,    's here in Dublin.

Th  place was built up a lot,    's everything that everyone talks about...   more...    n some more. Don't   d couraged by   line,   moves quickly      tally worth just a short wa . Service   friendly     menu   small but w h a wide range of options (chicken, falafel, pork, turkey, salads).   was hard   pick but I went for   sausage   pota  rosti s wich (special on Fridays), which was probably    st s wich I've ever had in my life. Every ingredient   thought out,   flavor combos     die for,     pay . (. for chicken)!!!   s wich     huge, but  's  o delicious not   fin h, so   prep d for   food coma.

Great location  tween Stephen's Green   Iveagh Gardens which   perfect for s ting down w h  r s wich.  'll need   walk after  're done, trust me.

I would try anything   everything on  ir menu (  I will), I just w h I had room at   end for one of  ir pastries, which all looked fab.

  problem now   going out   trying new places when   know   can     king of all s wiches at Green  nch Cafe!"
14,LOLGcB8sZy0nQ91Q9ESe_w,Emily C.,2/10/2014,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café," re was a day that I had two s wiches. About two hours apart. I just couldn't face   fact that   first one was gone out of my life forever.

What can I say that hasn't already  en said?  . HYPE.  . WORTH.  .  se lads know what  y're doing.  y   sambo pros. I pride myself in making an absolutely whopper s wich, but   couldn't comp      Green  nch.

  pork shoulder one   probably my favour e, but honestly  y're all good.

 re     amazing salads   delicious baking, as well as fresh veg juices.

If      re at any time  tween .   ,  re   guaranteed     a queue. But   moves fast,   trust me,  's WORTH  ."
15,rpED9Df76WpcH8r5tpgMjg,J D.,18/6/2019,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"I'm not a s wich person usually, after seeing   help reviews   affordable price for th  place, I decided   give th  place a try,   boy was I impressed. I think th    single h edly    st s wich I've had so far. My personal favor e      ef br ket s wich which has th  aromatic  efy taste.    ma  sauce  y used were simply divine.   clerks were attentive   matter of fact which I appreciate. All in I defin ely recommend th  place   I will   back   try   out again next time I v   Irel ."
16,4tpe23_TKLT94M60RmStuw,Sarah G.,6/11/2014,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Green  nch packs massive punch for a pint sized place, s wiches, salads, hot pots, great coffee   delicious home made healthy cakes (ok I lie  y're prob not healthy but damn  y're tasty!)  y're   exceptionally well priced for what     a soup & s wich will set   back €   keep   full for   rest of   day.

Th    a well loved place by everyone in our office   o rs as evident by   queue at lunchtime.

  staff     lovely, kudos     main lady who manages   till  o. She has   deal w h a zillion orders all at once   I've never seen her crack under   pressure, always cool calm   w h a lovely smile.

Well done Green  nch!"
17,vG6yP9Hk_8Peo6nz-8MG2g,Dylan L.,9/11/2016,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Do   ever go   a restaurant or coffee shop that everyone else seems   love   think ""th  place   overrated""? Well if   ever say that out loud I'll hunt   down...

  banana nut bread   latte   a staple of my diet now,     birchers muesli  n't  o shabby ei r.   lunch options   just as good as   breakfast somehow,   only downsides  ing    minute queue   lack of seating (all acceptable given   qual y).

I've  en going here weekly for months   I've never  en d appointed, that's how incredible   Green  nch  ."
18,jCMdF94UyMHEi6iv8ys-gg,Vicky O.,22/10/2014,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Th  tiny l tle s wich shop located in a l tle alley in Dublin   one of   hottest rated businesses in Yelp....   d'ya know what?  's well deserved.

I'm not a big sarnie (or should that   sambo) person. I don't    m for lunch as I   never  en a huge fan of bread in general (memories of school lunchboxes)   as such, when s wiches were suggested for lunch I had a b  of a ""meh"" response. In   spir  of trying things I wouldn't normally go for, I felt   would   worth a go when   was suggested by my colleague last week.

Firstly,   prep d   queue.   line     in  th  place was OK when we got  re (at around :, may ?) but   line when we left was twice as long. Saying that,   moved really quickly which   a testament     fantastic staff who work at th  l tle gem of a venue.

Th    defin ely a lunch hot spot. Soups, salads, wraps   s wiches   on   menu here    re   combo deals if   want more than one thing.   prices   pretty good  o! A ve arian Butternut Squash wrap w h Halloumi   some accompanying autumn soup was €.   wrap was made fresh     soup was hot   comforting. I was in   queue, served   out   door in around  minutes w h my brown paper bag of deliciousness ready   lunch   up back at   office.

 .WAS.ALL.DELICIOUS. All of   ingredients were evidently entirely fresh     soup was warm, zingy   comforting. I honestly think if I lived in Dublin I would eat at th  joint at least a few times a week.

So, in summary....   staff? Fantastic.   selection? Delectable.   price? Very fair.   taste? AMAZING. Dublin,     so spoiled     th  Cafe in  r c y."
19,rsWhPMvPDAEO82jn9wjmsg,Mama T.,12/6/2018,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,Loved th  cafe ! Please v  !  y   sublime! Everything was delicious! Staff super friendly!
20,FJZVxulAh2L8SmTD5Sys6w,Michael A.,23/11/2018,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"We showed up on a cloudy drizzly day on black friday for lunch after reading   reviews.  We spotted   front door from halfway down   alley due     line that stretched halfway across   adjacent building.  As we were st ing  re   smell of   freshly cooked meats kept us wa ing,     line moved qu e quickly.  We ordered a smoked paprika chicken s wich,   a roast turkey s wich which came up ra r fast.    food was amazing,   spices   textures were on point,   very different from   typical New York style deli we're used  .  I would  tally recomend anyone go here if  're craving a great s wich at very reasonable prices!  Cheers"
21,itw5t-iHS_gB-LjmHwx1MQ,Rowena H.,13/10/2014,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Whoa  re, horsey. Just hold on for a second,   explain   me what in   world   going on here. I'll need     repeat  ,  o,  cause I don't really underst  what just happened   me. I can't even even.   so on.

I'm doing my  st    come a more wholesome, healthy person; I qu  smoking, but th  can't     only reason that   party (sorry, absolute all out s nking rave) in my mouth was so spectacular. Th ... th  was flavour country: Caribou meets Wea rall meets Avery meets   Knife meets Royksopp. (Now I'm just l ting my favour e electronica.)

I don't remem r   name of   s wich; no es importante.   was  ef. Not  ef like  've ever known, though. I think   last time I had such a stupidly happy s wich experience was in San Franc co at Ike's         ir long lost s ter, GBC?

I'm not interested in describing   details.    ef,   mayo,   bread,   accoutrements... just trust. I ruddy love a good sarnie,   th  has put everything  fore   in my   ng years   absolute shame. In fact, I'll never eat a s wich in Leeds again. Not until  y think about what  y've done. (  GBC ei r sends help or opens a franch e.)

Thank  . I think I'll probably   back  morrow,     next day, until I     leave.   staff were mega fast, efficient,   friendly. I suspect  y're all geniuses.   counter   laiden w h home baked treats      might allow temptation, but that's not   main affair.   salad smelt incredible.   meal deals look like ace value.

But nothing   going    p that wonderfully  asted, bready bad boy. S wich royalty, right  re."
22,OKb9efElW-pD0dsQvPErYA,Cristin L.,20/3/2014,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"  was about time I upgraded my review of Green  nch Café from four stars   five stars.

OK   s wiches   excellent, I've establ hed that. But  day I went for salad box, which    EUR.  re   normally four salads   choose from         a b  of meat on  p, w h a b  of dressing included in   corner for good measure. I opted for all   salads w h a piece of salmon, which   grilled  re    n.  day's salad choices were:
  sweet pota , lentils, red onion, rocket, hazelnut
   ma , green  ans, chickpeas, spinach
  carrots, red cabbage, wild rice, apple
  sweet corn, pepper, scallions, avocado, tabbouleh

My goodness,   was so flipping delicious. Serious tastiness going on here. Each one of   four salads were great.

  queue   still long, but moves quickly.

If     on Facebook   want   know what's on   Green  nch Café menu each day,   should like  ir page   tick ""  Notifications"".  'll    ir daily menu every time  y post     Facebook. I normally know what I'm going   order  fore I arrive... nom."
23,XvhQQo3EDzg6Gqz8rplVjw,Brittany C.,24/3/2016,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Th    one of those places that reminds me that everything in my home wn (San Franc co)   horribly overpriced. Th  place   everything   want in a workday lunch place, so  's no wonder that desp e  s somewhat hidden location (in an alley...but not a sketchy one!),   line goes out   door every day. Every nearby office worker seems     found th  local gem.

Hop in line (don't worry,   moves fast!)   take a look at   menu of   day ( 's printed on a sheet of paper     wr ten on   chalkboard).  re's a selection of s wiches, salads,   soups,     can    r fill through various combinations of   three easily for under  euros.   s wiches   somewhat fusion y... when I v  ed   s wiches featured Med erranean spices, though I'm sure   flavors   on some kind of rotation. All of   s wiches I've tried were fantastic.

Fast, fresh, friendly, cheap,   super convenient, I was sad I couldn't take th  place back home   SF w h me!"
24,FIIyzIUMXlQfhVFn5iOJOQ,Megan K.,1/11/2014,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"If  r looking for    st pulled pork sambo in Dublin, look no fur r.

I had my first green  nch s wich yesterday     was pretty much as good as    s.

Let's start w h   bread   soft, fresh   not  o heavy.   meat inside was some of    st pulled pork I've ever had. Tender   juicy, w h just   right amount of BBQ sauce!

Th   auty   contains a generous dollop of coleslaw (which tastes home made), some rel h   fresh rocket.

Can't wa  for my next v  !"
25,J0qqh36fIyI__hc9_WCNPQ,Magda S.,23/4/2016,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Th  place   fantastic! As mentioned in o r reviews, don't   d couraged by   line.   moves quickly on   outside,   gives   just enough time   decide what   order when     inside.S wiches   sensational, interesting flavors   combination. Amazing both ve arian/non ve arian. Really good salads  o. Staff   great, very professional   very friendly."
26,x5vZYx24evVMH4WRr-Ap_Q,Joao F.,4/6/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"I could just wr e ""Go   Green  nch NOW""   leave my review at that. Th  place   THAT incredible.

Had   BBQ Pork Shoulder     was  o much   descri .   qual y of   ingredients really shines through,    's overall a very well built s wich. Plus I couldn't really fin h  , which left more goodness for a mid afternoon snack.

I'd give th  place  stars if I could."
27,THx3KQmOWVn5kDO7jSkL1g,Hannah M.,9/2/2016,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Green  nch Café   amazing.  s only available for take away food but worth s ting in   park on a cold day for :)   has daily specials on all food    re   no set menu here. I actually put off eating here for a long time even though every one had raved about   due     wa ing line always  ing out   door   up   street. I finally went in when I was passing a l tle  fore lunch   rush hour  re.   ingredients   fresh, s wiches   creative   staff   friendly...even when under pressure of a huge street queue.   prices   reasonable for c y centre   portions   large.
Highly recommend  !"
28,O-G400OxGLLwE5BU7xWU7g,Rowan C.,27/1/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Coming from a family of foodies, I was delighted   find th  place around   corner from my office. People often look at   like a confused puppy (  whole synchron ed head   eyebrow tilt) when   ask for Bircher Muesli so I was more than happy   find  y offer a brilliant rend ion of Bircher w h rhubarb  pping   a cuppa coffee for €. Great for people who do breakfast on   go (  on a side note;   coffee offers a quick release of energy while Bircher keeps   going right up until lunchtime)

When   comes   lunchtime, pretty much anything flies.  y change   menu regularly so don't    o attached   one  em on  . I often opt for a sturdy s wich but when tempted I sometimes go for   daily hotpot.   s wiches that   my attention often comprom e of ingredients such as BBQ (or pulled) pork w h extras like pineapple, avocado, carrot, coleslaw, rel h, pineapple (said   again cause  's so damn right outrageously good in a s wich)   a whole lot more. Add all th    a menu packed w h soups, salads   much more    've got  rself one of   hardest dec ions  'll ever make.

  place   pretty small so make sure     somewhere nice   go eat  r prize food,     back at   office or in St Stephens Green which   only a s nes throw away.  , defin ely bring an umbrella  cause   queue yawns out   door   down  wards Harcourt Street everyday   if/when   rains  'll   grateful.

/: I'm not sure if I'll fall in love like th  again."
29,kZWHTwSjqHNLsoiQX0lk1g,Tim L.,21/4/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café," re's nothing left   say as I'm busy stuffing my face full of goodness from   br ket, curry mayo   slaw s wich.  But that's not enough   I got a rasp rry   wh e chocolate brownie as well!

Sure I'm burning those calories already   walking   Stephen's Green   s  on a  nch in   sunshine while I devour  m!

*Tip     need   pinch  r nose in   queue outside...  'll know why when      re ;)"
30,00LibynKOSHe13csqtvP4Q,Geraldine C.,27/3/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"*BargainAlert*
As well as having great s wiches   salads, I just wanted   draw attention     fact that Green nch   do   most delectable l tle brownies, carrot cake slices   flapjack type bars, which go for about €. a pop!

I consider  m   perfect l tle b ch slap   rid   afternoon slump :)"
31,ELK1gvBp-522TV8gAP33FA,Allison B.,28/1/2018,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Very delicious s wich shop in   center.   can tell   ingredients   fresh   cr p. I ordered   Chicken (Free range) avocado, yogurt mayo s wich.   bread was  asted perfectly     wa  was about   mins.   was perfect as a quick lunch was needed. I can't wa      back   try   o r s wiches!"
32,0PVtTGFMfdJ5K3l3aKu-pQ,Juan L.,20/6/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Efficiency   good product   for me    st way   descri  th  business.   venue   small,   people  re coordinated   serve   a s wich   take away very fast during   lunch time. I got   sausage s wich   take away     was very good. Great range of sweets"
33,IvgHdhgTYcrxPy4v0ex-QA,Sharon S.,9/6/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Yummy, yummy... Love in my tummy! Th  place   amazing... Cons tently knocking   out of   park w h  ir s wiches, hot pots, salads   not   mention  ir l tle sweet cake treats.

Not surpr ing th  place   always up  re w h    st lunch in Dublin recommendations   for me,   really does live up   that.   queue at lunch hour     very telling... But let me rest assure  ,   queue can make   think twice but don't... Jump in    queue   quickly   will see   moving along.   moves along so fast,  y   a mil ary style set up in th  small cafe     production line works, so  fore   know   will   oogling   menu board   shouting across  r br ket order, or whatever     that tastes  r fancy.  y mix up  ir menu often which   great, keeps   interest  re   always w h   most unusual combinations.   menu   often inclusive of free range, organic local ingredients which   refreshing   see   for  ir price range,  's a bargain!   can combo a s wich up w h a cup of soup or a hot pot   again,   meal offers for th  place   on   money, good value   worthy.  y   bar ta made coffee available here, so ok, whilst not my favour e go   place for my daily coffee requirements but when I'm h ting th  place up for lunch,   coffee, yes please!"
34,TU8NsFvjzLqkI87QQqkJPw,Stephanie T.,14/10/2014,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Hate   do th  (okay, but not enough   not do  !)   th  place   pretty much   Ir h Sentinel,   about %  tter. Accordingly I   given     Sentinel four star rating plus an extra star!

Parallels:
 Hole in   wall w h a huge line out   door that still moves very quickly
 Several daily s wiches featuring somewhat novel or novel combinations of ingredients
 I swear   pork shoulder    ef s wiches   almost identical   s wiches I   actually eaten at Sentinel
 Only open M F during daytime hours. Lunch starts at noon.

Plus...
 Wider assortment of delicious looking baked treats that   can actually see
 Much lower price point (like % less)
 Amazing side salads   can add on    r meal for just a few extra euros

If  're in Dublin   defin ely need   check   out! Th    a s wich worth crossing  wn for."
35,IgeAcmjrukhM3JFQWVst4Q,Meredith P.,28/4/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Cons tently fresh, tasty,   for   longest line at lunch  y   perfected   art of making food quickly!  ir pork   delicious,    st served in a wrap.  ir salads change daily,    y update  ir fb page   keep  ir patrons in   know. I go for lunch at least x a week   never   tired of  .  y   don't mind if   play around w h   options   like  ting  ir chicken on   sambo that usually comes w h ham.

  staff   really nice, even in   midst of a busy takeaway crowd. Highly recommend  !"
36,Yjct17zYdxYaM4tG3jBXbQ,JJ T.,2/7/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Wow. I am so glad I got lost when searching for th  place  cause   moment I ate   food I realized that   was defin ely worth  .

So far I   only tried   breakfast. I got   porridge. But th   n't any boring porridge. I opened up   lid   on  p was straw rry rhubarb compote   vanilla yogurt. Each b e was perfect.

My friend   I sat on   green  nch   enjoyed our fabulous breakfast."
37,gRnrpXVhoARcSgqSQMjkdw,Chef Earth E.,8/4/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Had   most delicious r  roast  ef s wich..
Thinking about   since yesterday. Really need   go back.
Staff friendly   service was great.
I think we   going back  morrow! Yum"
38,XpsPYW0fBGQwhVH0PfQLEA,Kate b.,3/9/2014,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Pinch me. Seriously. Pinch me. Oh,   can't  cause  're reading th  through   magic of   internet. Anyways. Green  nch    o good     true. I must   dreaming or perhaps  y spiked my absolutely DELICIOUS grilled haloumi / artichoke tabbouleh wrap w h some type of hallucinogenic drug  cause I can't  lieve that something that tastes that good   going for ..

Green  nch does a s rming business   that's  cause     affordable, cons tent, healthy,   ridiculously delicious.  All s wiches   .   a mixed salad w h  r choice of protein on  p   a er.  y could EASILY charge  euros more for both   still do a s rming business  cause  's so f ing delicious but  y don't. Which makes everyone love  m more.

Lunch time   absolutely hectic, lines out   door everyday, but   staff remain composed, friendly, smiling,   always remem r  r order.  re's no seats so take  r un lievably cheap   tasty s wich     park.  n   s  down, marvel at  's  auty for   seconds,   eat    st lunch in  wn.

Absolutely worth    minute wa ."
39,1kYDWInS_Yraeb3Ui1OetQ,Rosie A.,10/9/2014,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"I am really losing my mind over   green  nch cafe. When people say things like ' st s wich in   world',   has     a let down, right? No.   doesn't.  cause green  nch actually has  m.    st s wiches. Ever.  re   usually a queue but as o rs say,   moves quickly. My colleague had    ef   I had   halloumi.   can choose a wrap or different types of bread.

Go, go, go!   won't   d appointed. I vow that every time I'm in Dublin I make sure   return.

Nb   I don't think  re   any seating at th  l tle cafe so  'd  st ei r scoff  r s wich right outside or head somewhere   make people swoon w h jealousy (I suggest office for  p jealousy making s uations)."
40,zd9orX1G0XLQlmUQ7iwtIQ,Brandon W.,8/7/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Some really great food! Th      perfect place   grab food    n head   at. Stephens park. Nice variety of options   fast preparation which   good  cause  's popular!

  folks working  re were great   personable. My wife got an incredible ham s wich that was fresh   flavorful. I had an Ir h Cajun chicken that was fresh, but   was a tad bl  for my taste.   person working  ir espresso machine made a great americano!"
41,W3lxAVUs9v1LU80zv0soBQ,Paul O.,4/6/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Pretty sure th  place has    st s wiches in Dublin.   size of   queue which goes out   door   half way down   street at lunch times will attest   that!  y sell a small num r of s wiches (usually ham, turkey,  er,   ve arian changing occasionally) along w h a daily hotpot   soup,   a selection of salads.  y   do lunch deals   €. for a s wich   a soup. Seriously good value!

Even though   queues   always long,  y move quickly,     staff   always in great moods. If  're stuck for somewhere   go for lunch, talk a stroll down here,  n head   Stephen's Green or Iveagh Gardens   enjoy  . Worth picking up a coffee  o!"
42,tgV6tsYQ66DZ3LQKvtC6cw,Jennie C.,27/3/2014,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café," y don't start serving lunch until ! Crazy line starts forming  wards   left ( where   see salads)   if  're not st ing  re, holding  r spot,   WILL   cut.   was   first time I felt like I was in a lunch time battle zone...we were brought here as a blog did a feature on    ST pulled pork s wiches in Dublin,   Green  nch made   l t.

We got a coffee, a hot pot,  pulled pork s wiches   a salad. Why all   food   ask? Combo deals!   combo deals (s wich   soup, salad   soup,s wich   salad, hot pot   s wich...)   so worth  !

Coffee   good, pulled pork s wiches   AWESOME, salads   fresh, hot pot   hearty, cus mers   anxious,   staff stress levels   high (even though  y do  ir  st   hide  ). I do think  's a good pulled pork s wich    's more in   Asian style (like   one at Donnybrook Fair) w h   spices  y use     taste of   slaw. Personally I prefer   drenched in smokey BBQ style pulled pork like  y   at B on, but th    probably much healthier. :)

 's a shame that  's so far from work as  y're only open on weekdays, as th    defin ely a great lunch spot."
43,Q_klM7dTTgwLFwLE1VBWwQ,David G.,10/3/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Sadly gone off   boil. Same food day after day,      re early or make do w h whats left.  o far   walk from work     bo red w h   incons tency : ("
44,oHWhcWQp2_ttMnVUKYnvrw,Jess L.,22/12/2014,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Th    one of    st s wich places in  wn, both for selection   price.   combinations   always a b  crazy sounding, but  y always work     staff   nice about making subst utions if   don't like something. Everything can   served as a s wich or a  asted wrap,    y   vegan salads as well.

 y recently increased  ir prices   €., which   still a lot less than most neighbouring places would charge for food like th .  's takeaway only,    re   always a queue, but   does tend   move quickly. On Friday's  y   epic sausage rolls in   morning."
45,O0keK96_kEU0burTctWSBw,Miguel R.,10/3/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"I went  re  cause of a friends birthday. I found   a really cool place w h a good menu.   restaurant   not really big so   c full if     a big group or, at least, just call  fore   do  r reservation.   hamburgers    o big   delicious     location   perfect if   want   go out after  r dinner.

I found   a l tle b  expensive in compar on w h ano r restaurantes w h a similar menu but if   aske me, I´d repeat ;)"
